Team,Charm Name,Repository,Branch (if not the default),Source
IS,mailman3-core,https://git.launchpad.net/mailman3-core-charm,,manual
IS,mailman3-web,https://git.launchpad.net/mailman3-web-charm,,manual
IS,mattermost-k8s,https://github.com/canonical/mattermost-k8s-operator,,manual
IS,nginx-ingress-integator,https://github.com/canonical/nginx-ingress-integrator-operator,,manual
IS,ntp,https://git.launchpad.net/ntp-charm,,manual
IS,openvpn-server,https://git.launchpad.net/openvpn-server-charm,,manual
IS,pollen,https://github.com/canonical/pollen-operator,,manual
IS,postgresql,https://git.launchpad.net/postgresql-charm,,manual
IS,postgresql-k8s,https://git.launchpad.net/charm-k8s-postgresql,,manual
IS,saml-integrator,https://github.com/canonical/saml-integrator-operator,,manual
IS,smtp-dkim-signing,https://git.launchpad.net/smtp-dkim-signing-charm,,manual
IS,smtp-integrator,https://github.com/canonical/smtp-integrator-operator,,manual
IS,smtp-relay,https://git.launchpad.net/smtp-relay-charm,,manual
IS,stunnel,https://git.launchpad.net/stunnel-charm,,manual
IS,synapse,https://github.com/canonical/synapse-operator,,manual
IS,ubuntu-mirror,https://git.launchpad.net/ubuntu-mirror-charm,,manual
IS,ubuntu-syncproxy,https://git.launchpad.net/ubuntu-syncproxy-charm,,manual
IS,wordpress-k8s,https://github.com/canonical/wordpress-k8s-operator,,manual
K8s,cinder-csi,https://github.com/canonical/cinder-csi-operator,,manual
K8s,etcd,https://github.com/canonical/etcd-operator,,manual
K8s,Microk8s,https://github.com/canonical/charm-microk8s,,manual
MLOps,admission-webhook,https://github.com/canonical/admission-webhook-operator,,manual
MLOps,argo,https://github.com/canonical/argo-operators,,manual
MLOps,dex-auth,https://github.com/canonical/dex-auth-operator,,manual
MLOps,envoy,https://github.com/canonical/envoy-operator,,manual
MLOps,istio,https://github.com/canonical/istio-operators,,manual
MLOps,katib,https://github.com/canonical/katib-operators,,manual
MLOps,kfp,https://github.com/canonical/kfp-operators,,manual
MLOps,knative,https://github.com/canonical/knative-operators,,manual
MLOps,kserve,https://github.com/canonical/kserve-operators,,manual
MLOps,kubeflow-dashboard,https://github.com/canonical/kubeflow-dashboard-operator,,manual
MLOps,kubeflow-profiles,https://github.com/canonical/kubeflow-profiles-operator,,manual
MLOps,kubeflow-roles,https://github.com/canonical/kubeflow-roles-operator,,manual
MLOps,kubeflow-tensorboards,https://github.com/canonical/kubeflow-tensorboards-operator,,manual
